Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Steven Adams,C,27,NOP,58,58,1605,189,308,0.614,0,3,0.0,189,305,0.62,0.614,60,135,0.444,213,301,514,111,54,38,78,113,438,0.01,9.1,2.2,-0.3,0.1,20.4,1.7,0.438,-0.4,14.4,2.3,15.1,1.6,17.5,17.4,0.596,11.7,0.7,4.0,0.119,17073171.0,18619958.0
Bam Adebayo,C,23,MIA,64,64,2143,456,800,0.57,2,8,0.25,454,792,0.573,0.571,283,354,0.799,142,431,573,346,75,66,169,145,1197,0.01,26.9,3.2,4.9,2.0,22.6,3.2,0.443,2.9,7.7,5.6,22.7,1.7,15.0,15.3,0.626,23.7,3.7,8.8,0.197,28103500.0,30649609.0
LaMarcus Aldridge,C,35,TOT,26,23,674,140,296,0.473,31,80,0.388,109,216,0.505,0.525,41,47,0.872,19,99,118,49,11,29,27,47,352,0.27,11.0,3.7,-0.3,-0.2,15.8,0.6,0.159,-0.2,3.0,0.5,15.7,0.8,7.9,9.4,0.556,22.2,0.3,1.1,0.08,2641691.0,2881021.0
Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,192,458,0.419,76,219,0.347,116,239,0.485,0.502,48,66,0.727,13,131,144,102,47,22,69,88,508,0.478,14.7,2.1,-1.3,0.1,14.1,1.0,0.144,-1.4,1.4,-0.3,12.5,2.2,12.4,7.8,0.522,23.2,0.2,0.7,0.035,3261480.0,3556962.0
Grayson Allen,SG,25,MEM,50,38,1259,173,414,0.418,107,274,0.391,66,140,0.471,0.547,79,91,0.868,19,141,160,108,46,8,48,71,532,0.662,11.5,0.6,-0.2,0.1,12.0,1.2,0.22,-0.2,1.6,1.5,12.8,1.7,9.6,6.7,0.586,16.8,0.6,2.7,0.101,4054695.0,4422040.0
Jarrett Allen,C,22,TOT,63,45,1864,298,482,0.618,6,19,0.316,292,463,0.631,0.624,204,290,0.703,196,435,631,106,32,90,100,96,806,0.039,8.7,4.3,1.1,-0.2,26.3,2.1,0.602,1.3,11.6,4.3,20.1,0.8,14.1,18.9,0.661,16.6,1.4,6.4,0.166,20000000.0,21811951.0
Al-Farouq Aminu,PF,30,TOT,23,14,434,38,99,0.384,8,37,0.216,30,62,0.484,0.424,18,22,0.818,22,88,110,31,19,9,28,29,102,0.374,10.1,1.9,-3.8,1.1,21.9,0.5,0.222,-4.9,5.1,-0.4,8.9,2.1,20.5,13.3,0.469,13.6,-0.2,0.1,0.01,10335621.0,11272002.0
Kyle Anderson,PF,27,MEM,69,69,1887,308,658,0.468,94,261,0.36,214,397,0.539,0.54,144,184,0.783,52,344,396,250,84,57,86,120,854,0.397,18.3,2.7,3.3,1.9,19.5,2.7,0.28,1.4,2.9,2.9,17.2,2.1,10.4,11.1,0.578,18.5,2.5,5.6,0.143,9937150.0,10837431.0
Giannis Antetokounmpo,PF,26,MIL,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,0.201,28.7,3.2,9.0,2.8,28.9,3.3,0.528,6.2,5.3,6.9,29.2,1.7,13.2,17.5,0.633,32.5,5.6,10.2,0.244,39344900.0,42909452.0
Thanasis Antetokounmpo,SF,28,MIL,57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166,0.212,10.3,1.6,-3.5,0.2,12.9,0.6,0.358,-3.7,10.7,0.0,10.3,1.9,21.3,11.8,0.523,15.3,-0.2,0.7,0.057,1729217.0,1885879.0
