Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Arron Afflalo,SG,26,DEN,62,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,0.316,11.1,0.5,0.1,-1.2,8.5,0.6,0.353,1.4,2.3,4.7,14.7,0.9,9.5,5.5,0.584,19.1,1.1,5.3,0.121,7562500.0,9764996.0
Cole Aldrich,C,23,OKC,26,0,173,22,42,0.524,0,0,0.0,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,0.0,2.7,6.7,1.0,2.2,21.6,0.4,0.333,-1.3,9.2,0.3,17.7,2.4,15.7,15.8,0.592,14.9,0.1,0.6,0.176,2445480.0,3157699.0
LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,0.012,13.2,1.7,3.0,-0.4,17.5,1.6,0.291,3.4,8.6,5.4,22.7,1.3,9.5,12.9,0.56,27.0,2.5,7.0,0.169,13000000.0,16786110.0
Lavoy Allen,PF,22,PHI,41,15,624,79,167,0.473,0,0,0.0,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,0.0,8.4,2.2,-1.7,1.0,22.2,1.2,0.084,-2.8,8.3,0.4,12.7,1.1,10.4,15.2,0.488,14.5,0.0,1.6,0.124,3000000.0,3873717.0
Tony Allen,SG,30,MEM,58,57,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,0.058,8.3,1.8,1.7,2.3,10.6,2.5,0.391,-0.6,7.4,1.7,15.7,3.6,15.2,8.9,0.541,18.4,1.4,4.2,0.131,3300000.0,4261089.0
Al-Farouq Aminu,SF,21,NOH,66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,0.129,7.2,1.9,-2.2,0.7,16.9,1.8,0.312,-2.9,7.8,-0.4,10.6,2.2,18.0,12.4,0.481,16.2,-0.1,1.4,0.044,2947800.0,3806315.0
Chris Andersen,C,33,DEN,32,1,486,59,108,0.546,0,0,0.0,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,0.0,1.8,7.4,2.3,1.8,23.3,0.8,0.759,0.5,11.9,1.0,18.9,2.0,10.6,17.8,0.583,14.8,0.5,1.9,0.183,5225952.0,6747953.0
Alan Anderson,SF,29,TOR,17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,0.43,9.5,0.5,-3.0,-1.3,6.5,0.2,0.239,-1.7,2.1,0.1,8.7,0.6,13.7,4.3,0.519,18.6,-0.1,0.3,0.032,885120.0,1142901.0
James Anderson,SG,22,SAS,51,2,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,0.391,9.6,0.2,-4.1,-1.4,11.8,0.4,0.299,-2.7,3.1,0.1,8.8,0.7,13.2,7.5,0.483,17.2,-0.3,0.5,0.04,902002.0,1164699.0
Ryan Anderson,PF,23,ORL,61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,0.557,5.1,1.0,4.0,-1.1,14.7,1.9,0.226,5.2,13.0,7.0,21.2,1.4,6.4,13.8,0.589,21.2,3.0,8.9,0.219,8700000.0,11233781.0
