Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Quincy Acy,PF,26,TOT,38,1,558,70,170,0.412,37,90,0.411,33,80,0.413,0.521,45,60,0.75,20,95,115,18,14,15,21,67,222,0.529,4.9,2.0,-2.1,-0.6,18.0,0.5,0.353,-1.5,3.9,0.5,11.8,1.2,9.7,11.0,0.565,16.8,0.0,0.9,0.082,1709538.0,2067950.0
Steven Adams,C,23,OKC,80,80,2389,374,655,0.571,0,1,0.0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,0.002,5.4,2.6,-0.2,0.0,15.4,3.1,0.392,-0.2,13.0,3.3,16.5,1.8,16.0,14.2,0.589,16.2,1.1,6.5,0.13,22471911.0,27183255.0
Arron Afflalo,SG,31,SAC,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,0.36,7.4,0.3,-3.6,-1.5,8.4,0.2,0.221,-2.1,0.7,1.2,8.9,0.7,8.4,4.6,0.559,14.4,-0.7,1.4,0.043,5328652.0,6445829.0
Cole Aldrich,C,28,MIN,62,0,531,45,86,0.523,0,0,0.0,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105,0.0,6.4,3.7,-0.8,1.5,23.9,0.7,0.256,-2.3,11.0,0.6,12.7,2.4,15.1,17.4,0.549,9.4,0.2,1.3,0.116,7300000.0,8830480.0
LaMarcus Aldridge,PF,31,SAS,72,72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,172,351,523,139,46,88,98,158,1243,0.053,9.9,3.0,0.8,0.1,16.6,3.7,0.258,0.7,8.5,3.5,18.6,1.0,7.7,12.7,0.532,24.5,1.7,7.2,0.149,21461010.0,25960414.0
Lavoy Allen,PF,27,IND,61,5,871,77,168,0.458,0,1,0.0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,0.006,9.1,2.4,-1.7,-0.2,14.5,0.8,0.196,-1.5,13.7,0.9,11.6,1.0,13.7,14.1,0.485,10.9,0.1,1.7,0.093,3500000.0,4233791.0
Tony Allen,SG,35,MEM,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,0.091,8.4,1.4,-1.0,1.1,13.8,2.9,0.218,-2.0,9.6,0.2,13.3,3.1,13.3,11.7,0.493,17.9,0.5,3.1,0.077,1471382.0,1779864.0
Al-Farouq Aminu,PF,26,POR,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,0.455,7.9,2.0,-1.1,0.4,23.5,2.0,0.292,-1.4,4.8,-0.1,11.3,1.7,15.2,14.1,0.506,15.4,0.4,1.9,0.051,7319035.0,8853506.0
Justin Anderson,SF,23,TOT,75,10,1228,186,439,0.424,58,194,0.299,128,245,0.522,0.49,102,129,0.791,69,176,245,66,41,23,66,109,532,0.442,8.8,1.6,-1.3,-0.4,16.9,1.3,0.294,-0.9,6.2,0.6,13.9,1.7,11.7,11.4,0.537,20.9,0.2,1.9,0.074,1579440.0,1910577.0
Kyle Anderson,SF,23,SAS,72,14,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,0.191,12.4,2.1,1.8,3.2,19.0,2.0,0.273,-1.4,3.7,0.7,12.5,2.5,14.3,11.5,0.525,12.1,1.0,2.7,0.127,2151704.0,2602819.0
Ryan Anderson,PF,28,HOU,72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,0.655,4.7,0.5,-0.4,-2.0,11.2,1.1,0.194,1.7,5.8,4.0,13.5,0.7,6.2,8.5,0.583,17.9,0.9,5.2,0.117,19578455.0,23683172.0
Giannis Antetokounmpo,SF,22,MIL,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,0.143,26.6,4.7,7.3,2.4,22.6,4.5,0.486,4.9,5.9,7.9,26.1,2.3,13.3,14.3,0.599,28.3,6.7,12.4,0.21,22471911.0,27183255.0
Carmelo Anthony,SF,32,NYK,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,0.303,14.5,1.1,0.7,-1.6,16.0,1.5,0.263,2.3,2.6,3.2,17.9,1.2,9.0,9.3,0.535,29.1,1.7,4.7,0.089,26243760.0,31745891.0
