Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Jeff Adrien,PF,26,CHA,52,5,713,72,168,0.429,0,2,0.0,72,166,0.434,0.429,65,100,0.65,68,128,196,36,18,27,32,80,209,0.012,8.3,3.1,-3.0,-0.9,21.2,0.4,0.595,-2.1,10.6,0.5,13.4,1.3,13.1,15.7,0.493,15.6,-0.2,1.0,0.064,916099.0,1162507.0
Arron Afflalo,SF,27,ORL,64,64,2307,397,905,0.439,72,240,0.3,325,665,0.489,0.478,191,223,0.857,29,210,239,206,40,11,138,137,1057,0.265,14.6,0.4,-2.9,-1.8,10.3,0.5,0.246,-1.1,1.4,1.5,13.0,0.9,12.1,5.8,0.527,22.5,-0.5,2.0,0.042,7562500.0,9596631.0
Cole Aldrich,C,24,TOT,45,0,388,44,80,0.55,0,0,0.0,44,80,0.55,0.55,12,20,0.6,30,90,120,9,5,23,23,60,100,0.0,3.4,4.6,-2.9,0.6,26.7,0.4,0.25,-3.5,8.7,0.1,11.1,0.7,20.6,17.7,0.563,12.7,-0.1,0.6,0.07,884293.0,1122146.0
LaMarcus Aldridge,PF,27,POR,74,74,2790,638,1318,0.484,2,14,0.143,636,1304,0.488,0.485,282,348,0.81,175,495,670,192,62,91,143,187,1560,0.011,13.0,2.5,1.3,-0.4,20.9,2.3,0.264,1.7,7.2,4.8,20.4,1.2,8.9,14.0,0.53,26.5,2.3,7.2,0.124,14100000.0,17892563.0
Lavoy Allen,C,23,PHI,79,37,1669,206,454,0.454,0,1,0.0,206,453,0.455,0.454,43,60,0.717,159,236,395,73,24,55,55,180,455,0.002,6.7,2.6,-3.3,-0.3,16.5,1.6,0.132,-3.0,10.5,0.9,11.5,0.8,10.3,13.4,0.474,14.8,-0.6,2.5,0.072,3120000.0,3959205.0
Tony Allen,SG,31,MEM,79,79,2109,284,638,0.445,3,24,0.125,281,614,0.458,0.447,134,187,0.717,121,242,363,98,119,44,94,211,705,0.038,7.6,1.7,0.4,2.4,13.8,4.1,0.293,-2.0,6.6,1.0,13.2,3.1,11.5,10.2,0.489,17.8,1.2,5.1,0.115,5000000.0,6344880.0
Al-Farouq Aminu,SF,22,NOH,76,71,2066,225,474,0.475,4,19,0.211,221,455,0.486,0.479,101,137,0.737,139,446,585,103,92,51,116,153,555,0.04,7.8,2.1,-0.1,1.2,26.2,2.4,0.289,-1.3,7.9,0.7,13.7,2.4,17.8,16.9,0.519,14.6,1.0,3.1,0.073,3700000.0,4695211.0
Chris Andersen,C,34,MIA,42,0,624,71,123,0.577,2,3,0.667,69,120,0.575,0.585,63,93,0.677,57,115,172,17,16,44,24,89,207,0.024,4.0,5.8,-0.2,0.8,21.5,1.1,0.756,-1.0,11.9,1.6,17.4,1.4,12.8,17.0,0.631,14.4,0.3,2.7,0.207,6217507.0,7889866.0
Alan Anderson,SF,30,TOR,65,2,1495,236,616,0.383,95,285,0.333,141,331,0.426,0.46,126,147,0.857,34,114,148,103,48,7,80,131,693,0.463,11.7,0.4,-1.8,-1.3,9.2,0.8,0.239,-0.5,2.7,0.8,12.6,1.7,10.5,5.9,0.509,23.6,0.1,1.6,0.052,947907.0,1202871.0
James Anderson,SG-SF,23,TOT,39,2,401,52,126,0.413,21,60,0.35,31,66,0.47,0.496,24,28,0.857,18,54,72,42,15,5,25,25,149,0.476,15.8,0.9,1.0,0.5,15.0,0.4,0.222,0.5,5.2,0.4,13.9,1.9,15.3,10.2,0.539,18.0,0.3,0.9,0.106,916099.0,1162507.0
