Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Ryan Anderson,PF,24,NOH,81,22,2503,472,1115,0.423,213,557,0.382,259,558,0.464,0.519,152,180,0.844,191,328,519,97,42,31,97,179,1309,0.5,6.9,1.0,2.0,-2.1,15.9,0.8,0.161,4.1,8.9,5.7,18.1,0.9,7.5,12.4,0.548,24.0,2.5,6.5,0.125,8308500.0,10543288.0
Carmelo Anthony,PF,28,NYK,67,67,2482,669,1489,0.449,157,414,0.379,512,1075,0.476,0.502,425,512,0.83,134,326,460,171,52,32,175,205,1920,0.278,14.1,1.1,4.3,-1.7,15.9,2.0,0.344,6.0,6.1,7.5,24.8,1.1,9.3,10.8,0.56,35.6,3.9,9.5,0.184,21490000.0,27270296.0
Joel Anthony,C,30,MIA,62,3,566,35,68,0.515,0,0,0.0,35,68,0.515,0.515,17,28,0.607,45,70,115,13,13,42,22,49,87,0.0,3.1,6.1,-1.3,0.9,14.4,0.8,0.412,-2.3,10.4,0.4,10.4,1.2,21.5,12.5,0.542,8.6,0.1,1.2,0.1,3800000.0,4822109.0
Trevor Ariza,SF,27,WAS,56,15,1471,188,451,0.417,76,209,0.364,112,242,0.463,0.501,78,95,0.821,44,222,266,113,72,20,84,72,530,0.463,12.7,1.1,2.1,2.0,16.9,2.4,0.211,0.1,3.3,0.7,14.0,2.5,14.6,10.0,0.538,17.9,1.6,3.1,0.102,7727280.0,9805733.0
Darrell Arthur,PF,24,MEM,59,3,970,162,359,0.451,5,18,0.278,157,341,0.46,0.458,33,46,0.717,68,101,169,33,24,33,43,126,362,0.05,5.9,2.8,-2.4,0.4,12.5,1.5,0.128,-2.8,8.1,0.2,11.8,1.3,10.2,10.3,0.477,20.1,-0.1,1.7,0.084,3231683.0,4100928.0
Jeff Ayres,PF,25,IND,37,0,369,61,126,0.484,2,4,0.5,59,122,0.484,0.492,21,23,0.913,29,75,104,15,6,12,23,44,145,0.032,7.2,2.4,-1.0,0.9,22.2,0.7,0.183,-1.9,8.9,0.3,14.5,0.9,14.5,15.7,0.533,19.7,0.1,1.0,0.129,1750000.0,2220708.0
Luke Babbitt,PF,23,POR,62,0,730,86,234,0.368,62,178,0.348,24,56,0.429,0.5,10,13,0.769,15,122,137,29,14,5,22,82,244,0.761,6.2,0.5,-2.4,-0.7,19.7,0.4,0.056,-1.7,2.4,0.3,9.4,1.0,8.4,10.9,0.509,16.4,-0.1,0.7,0.047,387995.0,492356.0
Leandro Barbosa,PG,30,BOS,41,2,513,83,193,0.43,18,47,0.383,65,146,0.445,0.477,31,41,0.756,8,38,46,58,17,6,21,51,215,0.244,19.0,0.9,-0.7,0.3,8.5,0.5,0.212,-1.0,1.9,0.4,13.5,1.7,9.1,5.3,0.509,21.4,0.2,0.9,0.086,650359.0,825290.0
Andrea Bargnani,PF,27,TOR,35,25,1003,170,426,0.399,38,123,0.309,132,303,0.436,0.444,65,77,0.844,26,102,128,38,21,23,54,64,443,0.289,6.6,1.8,-2.7,-1.6,12.3,0.6,0.181,-1.1,3.0,-0.5,11.2,1.1,10.5,7.6,0.482,23.8,-0.2,0.1,0.007,11000000.0,13958737.0
Harrison Barnes,SF,20,GSW,81,81,2058,276,628,0.439,52,145,0.359,224,483,0.464,0.481,144,190,0.758,53,280,333,98,52,14,101,140,748,0.231,7.3,0.5,-1.7,-0.1,14.5,1.9,0.303,-1.6,2.9,0.9,11.0,1.3,12.4,8.9,0.526,17.7,0.1,2.8,0.065,2923920.0,3710384.0
Matt Barnes,SF,32,LAC,80,4,2058,312,675,0.462,111,325,0.342,201,350,0.574,0.544,87,117,0.744,111,255,366,123,82,63,90,233,822,0.481,9.2,2.6,1.8,0.7,14.5,2.8,0.173,1.1,6.5,3.5,15.5,2.1,11.0,10.6,0.566,18.1,2.0,6.3,0.146,3250000.0,4124172.0
Will Barton,SG,22,POR,73,5,894,118,309,0.382,9,65,0.138,109,244,0.447,0.396,50,65,0.769,36,109,145,58,34,9,60,56,295,0.21,10.4,0.8,-4.6,-0.6,14.3,0.6,0.21,-4.0,4.6,-1.1,9.1,2.0,15.1,9.4,0.437,20.4,-0.6,-0.5,-0.028,788872.0,1001059.0
Brandon Bass,PF,27,BOS,81,69,2239,286,589,0.486,0,2,0.0,286,587,0.487,0.486,129,150,0.86,129,296,425,84,44,64,80,188,701,0.003,6.0,2.3,-1.9,0.0,15.2,2.7,0.255,-1.9,7.0,2.0,12.3,1.0,10.9,11.2,0.535,15.5,0.1,4.7,0.101,6750000.0,8565588.0
Shane Battier,SF,34,MIA,72,20,1786,152,362,0.42,136,316,0.43,16,46,0.348,0.608,32,38,0.842,37,128,165,72,41,55,34,149,472,0.873,5.7,2.5,1.0,0.1,8.4,1.6,0.105,0.9,2.7,2.8,10.7,1.2,8.2,5.7,0.623,11.0,1.4,4.4,0.119,3270000.0,4149551.0
Nicolas Batum,SF,24,POR,73,73,2807,352,833,0.423,165,444,0.372,187,389,0.481,0.522,178,210,0.848,97,315,412,360,91,83,190,139,1047,0.533,20.3,2.2,2.8,0.5,13.2,1.9,0.252,2.3,4.0,3.8,15.7,1.7,17.0,8.5,0.566,18.2,3.4,5.8,0.099,10920250.0,13857536.0
Jerryd Bayless,PG,24,MEM,80,4,1765,260,621,0.419,71,201,0.353,189,420,0.45,0.476,102,122,0.836,22,154,176,264,59,17,120,168,693,0.324,24.9,0.8,0.1,0.7,10.5,2.5,0.196,-0.6,1.4,1.5,13.5,1.8,15.1,5.9,0.514,20.8,1.0,4.0,0.108,3135000.0,3978240.0
Aron Baynes,C,26,SAS,16,0,141,18,36,0.5,0,1,0.0,18,35,0.514,0.5,7,12,0.583,12,20,32,5,1,6,11,23,43,0.028,5.2,3.1,-7.0,-0.6,15.5,0.2,0.333,-6.4,10.4,0.0,8.8,0.4,21.0,13.1,0.521,17.1,-0.2,0.1,0.05,788872.0,1001059.0
Kent Bazemore,SG,23,GSW,61,0,267,43,116,0.371,10,34,0.294,33,82,0.402,0.414,27,44,0.614,5,17,22,22,17,4,18,27,123,0.293,13.1,1.2,-2.4,0.7,6.8,0.3,0.379,-3.1,2.1,-0.3,11.3,3.2,11.7,4.5,0.454,25.7,0.0,0.1,0.014,762195.0,967207.0
Bradley Beal,SG,19,WAS,56,46,1745,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,0.344,13.7,1.3,0.2,0.2,10.8,2.0,0.231,0.0,2.7,1.0,13.6,1.5,10.6,6.7,0.515,22.2,1.0,3.0,0.082,4319280.0,5481063.0
Michael Beasley,SF,24,PHO,75,20,1554,310,766,0.405,45,144,0.313,265,622,0.426,0.434,94,126,0.746,52,230,282,111,31,34,144,107,759,0.188,12.5,1.6,-4.7,-2.0,17.2,1.0,0.164,-2.7,3.7,-2.5,10.8,1.0,14.9,10.3,0.462,27.6,-1.1,-1.5,-0.047,7027424.0,8917632.0
Marco Belinelli,SG,26,CHI,73,27,1882,241,610,0.395,79,221,0.357,162,389,0.416,0.46,141,168,0.839,13,127,140,148,44,6,82,140,702,0.362,12.9,0.2,-2.3,-0.4,7.8,1.6,0.275,-1.9,0.8,1.3,10.4,1.3,10.7,4.3,0.513,18.7,-0.1,3.0,0.076,2750000.0,3489684.0
Patrick Beverley,PG,24,HOU,41,0,713,79,189,0.418,36,96,0.375,43,93,0.462,0.513,34,41,0.829,45,64,109,117,37,21,44,83,228,0.508,24.2,2.2,3.8,2.1,10.1,0.8,0.217,1.7,7.2,1.4,15.4,2.6,17.5,8.7,0.551,15.4,1.0,2.2,0.148,788872.0,1001059.0
Chauncey Billups,SG,36,LAC,22,22,418,53,132,0.402,33,90,0.367,20,42,0.476,0.527,45,48,0.938,2,30,32,49,12,1,26,25,184,0.682,17.4,0.2,0.5,-1.1,8.4,0.3,0.364,1.6,0.6,1.0,15.0,1.5,14.5,4.6,0.601,19.6,0.3,1.3,0.146,2500000.0,3172440.0
Bismack Biyombo,C,20,CHA,80,65,2186,156,346,0.451,0,0,0.0,156,346,0.451,0.451,74,142,0.521,194,388,582,35,28,143,82,195,386,0.0,2.5,5.3,-4.4,-0.8,20.9,1.3,0.41,-3.6,9.9,0.1,10.1,0.7,16.7,15.2,0.472,10.2,-1.3,1.4,0.031,3217680.0,4083159.0
DeJuan Blair,PF,23,SAS,61,16,851,142,271,0.524,0,1,0.0,142,270,0.526,0.524,44,70,0.629,66,164,230,45,37,10,49,112,328,0.004,8.3,0.9,-1.6,0.8,21.1,1.5,0.258,-2.4,9.5,0.7,14.6,2.2,14.0,15.6,0.543,19.0,0.1,2.2,0.126,941000.0,1194106.0
Steve Blake,PG,32,LAL,45,13,1175,114,270,0.422,72,171,0.421,42,99,0.424,0.556,27,35,0.771,21,111,132,173,34,6,62,83,327,0.633,21.9,0.4,0.5,0.4,10.1,0.8,0.13,0.1,2.0,1.6,11.7,1.5,17.8,6.2,0.573,13.2,0.7,2.4,0.097,4000000.0,5075904.0
Andray Blatche,C,26,BRK,82,8,1555,346,676,0.512,3,22,0.136,343,654,0.524,0.514,148,216,0.685,161,256,417,85,86,54,123,163,843,0.033,10.5,2.7,2.2,0.9,19.6,2.5,0.32,1.3,12.2,2.4,21.9,3.0,13.8,15.8,0.547,26.5,1.6,4.9,0.153,9170525.0,11637176.0
Eric Bledsoe,PG,23,LAC,76,12,1553,253,568,0.445,31,78,0.397,222,490,0.453,0.473,106,134,0.791,78,147,225,233,109,55,137,112,643,0.137,23.5,3.0,3.5,2.2,11.1,2.6,0.236,1.3,6.1,1.1,17.5,3.7,17.9,8.6,0.513,22.5,2.2,3.7,0.115,2626473.0,3332931.0
Keith Bogans,SG,32,BRK,74,23,1408,108,284,0.38,84,245,0.343,24,39,0.615,0.528,11,17,0.647,16,104,120,76,28,4,49,108,311,0.863,8.1,0.2,-2.6,-0.3,8.8,0.7,0.06,-2.3,1.3,0.7,6.7,1.1,14.4,5.0,0.533,11.2,-0.2,1.4,0.047,5058198.0,6418732.0
Andrew Bogut,C,28,GSW,32,32,786,83,184,0.451,1,1,1.0,82,183,0.448,0.454,19,38,0.5,68,177,245,67,20,55,35,85,186,0.005,12.5,5.5,1.4,2.8,24.1,1.4,0.207,-1.4,9.8,0.4,13.8,1.3,14.8,17.2,0.463,13.4,0.7,1.7,0.106,14200000.0,18019460.0
Matt Bonner,PF,32,SAS,68,4,909,112,230,0.487,53,120,0.442,59,110,0.536,0.602,11,15,0.733,25,104,129,36,17,19,16,86,288,0.522,5.8,1.5,0.2,0.4,12.5,1.1,0.065,-0.2,3.4,1.4,11.8,1.0,6.3,8.2,0.609,12.8,0.5,2.5,0.133,3945000.0,5006110.0
Trevor Booker,PF,25,WAS,48,14,887,108,220,0.491,0,5,0.0,108,215,0.502,0.491,40,72,0.556,98,141,239,40,32,16,31,95,256,0.023,7.4,1.4,-1.0,0.6,17.8,1.4,0.327,-1.5,12.2,0.9,13.9,1.9,11.0,14.9,0.509,14.5,0.2,2.3,0.126,2350820.0,2983134.0
Carlos Boozer,PF,31,CHI,79,79,2546,544,1140,0.477,0,2,0.0,544,1138,0.478,0.477,193,264,0.731,175,596,771,179,66,28,176,239,1281,0.002,13.4,0.8,-0.1,0.2,27.2,4.3,0.232,-0.3,7.8,1.4,17.1,1.4,12.3,17.4,0.51,25.8,1.2,5.7,0.108,15300000.0,19415334.0
Avery Bradley,PG,22,BOS,50,50,1435,192,478,0.402,40,126,0.317,152,352,0.432,0.444,37,49,0.755,30,81,111,104,64,19,72,129,461,0.264,11.6,1.0,-3.7,0.3,6.5,1.6,0.103,-4.0,2.5,-1.3,8.8,2.3,12.6,4.6,0.461,18.8,-0.6,0.4,0.012,2511432.0,3186947.0
Elton Brand,C,33,DAL,72,18,1527,226,478,0.473,0,1,0.0,226,477,0.474,0.473,66,93,0.71,130,300,430,70,50,90,57,192,518,0.002,7.1,4.6,-0.9,0.9,21.5,2.2,0.195,-1.7,9.7,1.2,15.2,1.7,9.9,15.7,0.499,17.2,0.4,3.4,0.107,4000000.0,5075904.0
Corey Brewer,SF,26,DEN,82,2,2003,375,883,0.425,91,307,0.296,284,576,0.493,0.476,149,216,0.69,55,180,235,124,118,23,102,154,990,0.348,9.5,0.9,0.4,0.6,9.9,2.2,0.245,-0.2,3.1,1.7,14.7,3.0,9.4,6.6,0.506,23.4,1.2,3.9,0.093,4500000.0,5710392.0
Ronnie Brewer,SF,27,TOT,60,34,853,70,198,0.354,23,76,0.303,47,122,0.385,0.412,16,39,0.41,42,98,140,50,43,6,18,33,179,0.384,8.6,0.6,-0.7,0.9,13.5,1.0,0.197,-1.7,5.7,0.1,10.0,2.7,7.7,9.6,0.416,12.7,0.3,1.1,0.06,1256250.0,1594151.0
Aaron Brooks,PG,28,TOT,53,20,997,143,316,0.453,50,134,0.373,93,182,0.511,0.532,40,52,0.769,13,67,80,114,30,10,67,94,376,0.424,18.0,0.8,-2.2,-1.4,7.9,0.0,0.165,-0.8,1.5,0.8,11.8,1.5,16.5,4.6,0.555,18.1,0.0,0.8,0.041,1027424.0,1303776.0
MarShon Brooks,SG,24,BRK,73,2,912,155,335,0.463,15,55,0.273,140,280,0.5,0.485,69,94,0.734,32,72,104,76,34,16,69,93,394,0.164,14.6,1.3,-1.7,-0.1,9.4,0.8,0.281,-1.6,4.1,0.5,13.5,2.0,15.5,6.7,0.523,22.5,0.1,1.3,0.068,1276560.0,1619924.0
Kwame Brown,C,30,PHI,22,11,269,17,37,0.459,0,0,0.0,17,37,0.459,0.459,7,19,0.368,23,51,74,9,6,10,8,37,41,0.0,4.7,2.9,-4.9,0.0,22.1,0.4,0.514,-4.9,9.4,0.0,8.8,1.2,15.0,15.5,0.452,9.1,-0.2,0.4,0.071,3000000.0,3806928.0
Shannon Brown,SG,27,PHO,59,22,1402,240,571,0.42,39,141,0.277,201,430,0.467,0.454,98,125,0.784,44,105,149,108,59,15,74,92,617,0.247,12.8,0.8,-1.6,-0.5,8.7,0.8,0.219,-1.1,3.5,0.4,13.1,2.2,10.6,6.0,0.493,22.2,0.2,1.2,0.041,481562.0,611090.0
Chase Budinger,SF,24,MIN,23,1,508,79,191,0.414,26,81,0.321,53,110,0.482,0.482,32,42,0.762,15,56,71,25,14,7,23,29,216,0.424,8.3,1.1,-1.4,-0.8,13.0,0.4,0.22,-0.6,3.3,0.3,12.6,1.4,9.9,8.0,0.516,20.5,0.1,0.7,0.066,5000000.0,6344880.0
Alec Burks,SG,21,UTA,64,0,1137,163,388,0.42,33,92,0.359,130,296,0.439,0.463,92,129,0.713,37,108,145,92,35,13,74,114,451,0.237,13.0,0.9,-2.6,-0.7,11.2,0.7,0.332,-1.9,3.8,0.3,11.5,1.6,14.3,7.5,0.507,20.7,-0.2,1.0,0.044,2323200.0,2948085.0
Caron Butler,SF,32,LAC,78,78,1879,305,720,0.424,128,330,0.388,177,390,0.454,0.513,75,90,0.833,41,182,223,78,51,11,72,139,813,0.458,6.5,0.5,-1.3,-1.2,11.4,1.6,0.125,-0.1,2.6,1.9,12.4,1.4,8.7,7.1,0.535,20.2,0.3,3.6,0.091,8386992.0,10642891.0
Jimmy Butler,SF,23,CHI,82,20,2134,239,512,0.467,40,105,0.381,199,407,0.489,0.506,187,233,0.803,136,192,328,115,78,31,62,97,705,0.205,8.6,1.1,2.0,1.0,10.4,2.6,0.455,1.0,7.2,4.4,15.2,2.0,9.2,8.8,0.574,14.6,2.1,7.0,0.158,1174080.0,1489879.0
Will Bynum,PG,30,DET,65,0,1219,253,540,0.469,24,76,0.316,229,464,0.494,0.491,106,131,0.809,28,69,97,231,45,5,125,128,636,0.141,34.8,0.3,-1.0,-1.6,6.6,0.5,0.243,0.6,2.6,1.2,16.6,2.0,17.3,4.6,0.532,27.0,0.3,1.7,0.067,2790343.0,3540878.0
Marcus Camby,PF,38,NYK,24,4,250,17,53,0.321,0,0,0.0,17,53,0.321,0.321,8,19,0.421,24,56,80,14,7,14,15,28,42,0.0,8.1,4.8,-3.6,1.2,27.1,0.4,0.358,-4.8,10.9,-0.4,8.6,1.5,19.6,18.7,0.342,14.3,-0.1,0.0,0.007,3383773.0,4293927.0
DeMarre Carroll,SF,26,UTA,66,12,1111,149,324,0.46,20,70,0.286,129,254,0.508,0.491,75,98,0.765,87,101,188,61,58,24,34,119,393,0.216,8.7,1.7,1.3,0.9,10.8,1.1,0.302,0.4,9.1,2.0,15.5,2.8,8.5,9.9,0.535,16.4,0.9,3.1,0.134,2500000.0,3172440.0
Vince Carter,SF,36,DAL,81,3,2093,372,855,0.435,162,399,0.406,210,456,0.461,0.53,182,223,0.816,58,276,334,194,74,44,106,226,1088,0.467,15.0,1.6,3.1,0.3,14.4,2.0,0.261,2.7,3.1,3.9,17.8,1.8,10.0,8.9,0.571,23.1,2.6,6.0,0.137,3180000.0,4035344.0
Omri Casspi,SF,24,CLE,43,1,503,63,160,0.394,25,76,0.329,38,84,0.452,0.472,22,41,0.537,20,94,114,28,25,12,22,45,173,0.475,8.8,1.9,-0.1,0.7,22.7,0.6,0.256,-0.8,4.4,0.1,12.9,2.6,11.0,13.1,0.486,17.7,0.2,0.7,0.064,947907.0,1202871.0
Mario Chalmers,PG,26,MIA,77,77,2068,227,529,0.429,123,301,0.409,104,228,0.456,0.545,89,112,0.795,19,152,171,273,118,12,119,196,666,0.569,19.4,0.5,0.4,0.9,8.6,2.5,0.212,-0.5,1.2,2.6,13.3,3.0,17.1,5.1,0.576,16.1,1.3,5.2,0.12,4000000.0,5075904.0
Tyson Chandler,C,30,NYK,66,66,2164,255,400,0.638,0,0,0.0,255,400,0.638,0.638,179,258,0.694,269,434,703,62,42,75,87,188,689,0.0,4.5,3.0,1.3,-0.3,24.3,2.6,0.645,1.5,14.1,6.7,18.9,1.0,14.5,19.0,0.671,13.0,1.8,9.3,0.207,14100538.0,17893246.0
Wilson Chandler,PF,25,DEN,43,8,1079,210,455,0.462,52,126,0.413,158,329,0.48,0.519,88,111,0.793,45,173,218,58,45,12,60,119,560,0.277,8.3,0.9,0.5,-0.1,17.6,1.3,0.244,0.7,4.8,1.8,16.6,2.1,10.6,11.3,0.556,22.7,0.7,3.1,0.137,6344164.0,8050592.0
Josh Childress,SF,29,BRK,14,0,100,6,21,0.286,1,3,0.333,5,18,0.278,0.31,1,2,0.5,6,9,15,5,2,2,0,3,14,0.143,7.3,1.5,-3.3,-0.6,10.7,0.1,0.095,-2.7,7.0,0.0,7.0,1.1,0.0,8.9,0.32,10.1,0.0,0.1,0.029,7405833.0,9397824.0
Earl Clark,PF,25,LAL,59,36,1363,170,386,0.44,35,104,0.337,135,282,0.479,0.486,53,76,0.697,82,243,325,65,36,44,62,102,428,0.269,7.4,2.3,-0.7,0.5,19.1,1.5,0.197,-1.2,6.8,0.7,12.4,1.3,12.9,13.1,0.51,15.7,0.4,2.3,0.08,4361518.0,5534661.0
Victor Claver,SF,24,POR,49,16,812,74,189,0.392,25,87,0.287,49,102,0.48,0.458,14,30,0.467,31,88,119,43,26,12,43,75,187,0.46,7.9,1.1,-3.7,0.0,12.8,0.5,0.159,-3.6,4.4,-0.6,7.0,1.7,17.5,8.5,0.462,13.9,-0.3,-0.1,-0.005,1311240.0,1663932.0
Norris Cole,PG,24,MIA,80,4,1590,179,425,0.421,35,98,0.357,144,327,0.44,0.462,52,80,0.65,18,112,130,164,57,7,104,155,445,0.231,15.2,0.4,-4.9,-0.6,8.2,1.4,0.188,-4.3,1.5,-0.8,7.9,1.9,18.4,5.0,0.483,17.0,-1.2,0.6,0.019,1191240.0,1511655.0
Jason Collins,C,34,TOT,38,9,384,9,29,0.31,0,0,0.0,9,29,0.31,0.31,23,32,0.719,22,38,60,8,12,10,18,85,41,0.0,2.9,2.1,-6.7,1.2,11.3,0.5,1.103,-7.9,6.9,-0.1,3.0,1.6,29.5,9.2,0.476,7.5,-0.4,0.4,0.045,436316.0,553674.0
Darren Collison,PG,25,DAL,81,47,2372,341,724,0.471,48,136,0.353,293,588,0.498,0.504,242,275,0.88,31,188,219,415,100,8,173,139,972,0.188,26.8,0.3,0.1,-0.3,8.7,1.7,0.38,0.4,1.5,4.0,16.3,2.2,17.0,5.1,0.575,19.6,1.3,5.6,0.114,1900000.0,2411054.0
Nick Collison,C,32,OKC,81,2,1583,176,296,0.595,0,4,0.0,176,292,0.603,0.595,60,78,0.769,123,210,333,121,51,30,69,197,412,0.014,11.3,1.4,0.9,1.1,14.2,2.1,0.264,-0.2,9.6,3.2,13.6,1.7,17.3,12.1,0.624,11.5,1.2,5.2,0.158,2585668.0,3281150.0
Mike Conley,PG,25,MEM,80,80,2757,414,940,0.44,106,293,0.362,308,647,0.476,0.497,234,282,0.83,43,182,225,487,174,24,189,171,1168,0.312,29.5,0.7,4.6,2.3,7.9,4.7,0.3,2.3,1.8,5.1,18.3,3.4,15.1,4.8,0.549,21.0,4.6,9.9,0.172,7900000.0,10024911.0
Chris Copeland,PF,28,NYK,56,13,862,182,380,0.479,59,140,0.421,123,240,0.513,0.557,63,83,0.759,34,85,119,27,16,12,50,104,486,0.368,5.7,1.2,-0.5,-1.6,11.9,0.6,0.218,1.1,4.5,1.5,16.8,1.0,10.7,8.1,0.583,25.3,0.3,2.1,0.117,3000000.0,3806928.0
DeMarcus Cousins,C,22,SAC,75,74,2289,482,1036,0.465,4,22,0.182,478,1014,0.471,0.467,312,423,0.738,222,524,746,199,108,55,225,269,1280,0.021,15.3,1.9,0.2,-0.5,27.0,2.3,0.408,0.7,10.9,2.0,20.2,2.4,15.5,18.7,0.524,28.1,1.2,4.4,0.092,4916973.0,6239521.0
Jamal Crawford,SG,32,LAC,76,0,2230,445,1016,0.438,149,396,0.376,296,620,0.477,0.511,216,248,0.871,22,106,128,193,79,13,146,71,1255,0.39,14.4,0.5,1.0,-1.3,5.6,1.7,0.244,2.3,1.2,3.7,16.8,1.9,11.5,3.4,0.558,26.0,1.7,5.4,0.116,5225000.0,6630400.0
Jordan Crawford,SG,24,TOT,70,14,1709,301,725,0.415,83,246,0.337,218,479,0.455,0.472,129,159,0.811,44,165,209,225,39,7,141,106,814,0.339,23.5,0.3,-0.9,-1.1,10.9,1.7,0.219,0.3,2.9,0.2,13.8,1.2,15.1,6.9,0.512,25.3,0.5,1.9,0.052,2162418.0,2744056.0
Jae Crowder,SF,22,DAL,78,16,1353,141,367,0.384,63,192,0.328,78,175,0.446,0.47,47,73,0.644,35,152,187,94,63,17,49,128,392,0.523,10.0,1.0,-1.0,0.9,12.3,1.3,0.199,-1.9,2.9,0.2,10.2,2.4,10.9,7.7,0.491,15.1,0.3,1.5,0.055,788872.0,1001059.0
Dante Cunningham,PF,25,MIN,80,9,2010,314,671,0.468,0,6,0.0,314,665,0.472,0.468,67,103,0.65,142,266,408,67,84,38,56,153,695,0.009,5.7,1.5,-1.4,0.4,15.6,2.4,0.154,-1.8,7.8,1.1,13.3,2.2,7.3,11.6,0.485,17.2,0.3,3.5,0.084,2180000.0,2766367.0
Jared Cunningham,SG,21,DAL,8,0,26,6,14,0.429,2,3,0.667,4,11,0.364,0.5,2,2,1.0,1,2,3,1,1,0,2,3,16,0.214,6.8,0.0,-1.5,-1.9,8.4,0.0,0.143,0.4,4.4,0.0,14.8,2.0,11.8,6.4,0.538,29.6,0.0,0.0,0.033,1301208.0,1651201.0
Stephen Curry,PG,24,GSW,78,78,2983,626,1388,0.451,272,600,0.453,354,788,0.449,0.549,262,291,0.9,59,255,314,539,126,12,240,198,1786,0.432,31.1,0.3,5.4,0.1,9.1,2.8,0.21,5.3,2.3,8.4,21.3,2.1,13.7,5.8,0.589,26.4,5.6,11.2,0.18,9887642.0,12547181.0
