Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Michael Beasley,SF,22,MIN,73,73,2361,561,1246,0.45,60,164,0.366,501,1082,0.463,0.474,219,291,0.753,118,291,409,158,54,52,195,222,1401,0.132,12.3,1.7,-1.8,-1.8,14.1,1.0,0.234,0.0,5.4,0.7,15.5,1.1,12.4,9.6,0.51,28.3,0.1,1.7,0.035,6262347.0,8220741.0
Rodrigue Beaubois,PG,22,DAL,28,26,496,94,223,0.422,25,83,0.301,69,140,0.493,0.478,23,30,0.767,7,45,52,64,20,8,47,76,236,0.372,21.9,1.2,-2.7,0.5,10.2,0.7,0.135,-3.2,1.7,-0.4,11.4,2.1,16.6,6.1,0.5,26.7,-0.1,0.2,0.022,1236720.0,1623473.0
Marco Belinelli,SG,24,NOH,80,69,1957,302,691,0.437,134,324,0.414,168,367,0.458,0.534,98,125,0.784,17,134,151,92,38,6,77,146,836,0.469,8.0,0.3,-0.6,-0.8,8.4,1.5,0.181,0.2,1.1,1.9,12.1,1.1,9.4,4.7,0.56,20.0,0.7,3.4,0.084,3377604.0,4433866.0
Charlie Bell,SG,31,GSW,19,0,171,12,43,0.279,6,21,0.286,6,22,0.273,0.349,2,4,0.5,6,12,18,13,6,1,6,13,32,0.488,10.1,0.4,-5.0,-0.8,8.1,0.0,0.093,-4.2,3.9,-0.2,4.7,1.8,11.8,6.0,0.357,13.1,-0.1,-0.1,-0.04,4099920.0,5382069.0
Raja Bell,SG,34,UTA,68,63,2097,191,467,0.409,68,193,0.352,123,274,0.449,0.482,91,102,0.892,31,145,176,118,56,14,63,169,541,0.413,8.3,0.5,-3.1,-0.7,8.4,0.5,0.218,-2.4,1.8,1.2,8.2,1.4,11.0,5.1,0.528,12.6,-0.6,1.7,0.04,3240000.0,4253230.0
Mike Bibby,PG,32,TOT,80,68,2285,248,576,0.431,153,348,0.44,95,228,0.417,0.563,39,62,0.629,17,178,195,265,50,9,101,175,688,0.604,17.9,0.3,-0.9,-0.4,9.2,1.8,0.108,-0.6,0.9,2.2,10.9,1.2,14.3,5.1,0.57,14.6,0.6,4.0,0.085,1352181.0,1775042.0
Chauncey Billups,PG,34,TOT,72,72,2310,339,794,0.427,146,363,0.402,193,431,0.448,0.519,384,419,0.916,25,165,190,387,71,14,177,146,1208,0.457,25.8,0.5,2.6,-1.2,8.1,1.4,0.528,3.7,1.3,6.6,18.7,1.5,15.3,4.7,0.617,22.3,2.7,8.0,0.166,14200000.0,18640699.0
DeJuan Blair,PF,21,SAS,81,65,1734,292,583,0.501,0,2,0.0,292,581,0.503,0.501,90,137,0.657,215,350,565,77,95,42,113,213,674,0.003,7.1,1.7,-0.5,0.7,22.9,3.2,0.235,-1.2,14.8,1.5,17.1,2.8,14.9,18.9,0.524,20.1,0.7,4.8,0.132,986000.0,1294347.0
Steve Blake,PG,30,LAL,79,0,1581,110,306,0.359,73,193,0.378,37,113,0.327,0.479,26,30,0.867,19,137,156,170,40,3,73,99,319,0.631,15.0,0.1,-2.3,0.2,9.5,1.5,0.098,-2.6,1.4,0.3,7.5,1.3,18.6,5.6,0.5,11.3,-0.1,1.8,0.055,4000000.0,5250901.0
Andray Blatche,PF,24,WAS,64,63,2172,426,957,0.445,4,18,0.222,422,939,0.449,0.447,220,283,0.777,183,343,526,144,98,51,172,182,1076,0.019,11.7,1.8,-0.9,-0.5,18.7,2.1,0.296,-0.3,9.3,0.3,16.9,2.3,13.7,13.8,0.497,25.5,0.6,2.4,0.053,6442083.0,8456685.0
Eric Bledsoe,PG,21,LAC,81,25,1841,206,486,0.424,32,116,0.276,174,370,0.47,0.457,99,133,0.744,68,155,223,289,92,26,194,130,543,0.239,24.2,1.1,-2.2,0.2,9.8,1.6,0.274,-2.4,4.4,-1.3,10.8,2.6,26.3,7.1,0.499,17.9,-0.1,0.3,0.008,1596360.0,2095582.0
Keith Bogans,SG,30,CHI,82,82,1461,124,307,0.404,90,237,0.38,34,70,0.486,0.55,21,32,0.656,19,129,148,101,38,9,41,113,359,0.772,10.1,0.5,-0.2,1.4,10.1,2.2,0.104,-1.5,1.6,1.4,9.0,1.4,11.3,5.9,0.559,11.4,0.7,3.6,0.118,848266.0,1113540.0
Andrew Bogut,C,26,MIL,65,65,2297,367,742,0.495,0,4,0.0,367,738,0.497,0.495,96,217,0.442,199,521,720,131,47,168,125,217,830,0.005,10.4,5.8,1.3,2.4,27.1,5.1,0.292,-1.0,9.8,0.3,16.7,1.1,13.0,18.3,0.496,19.6,1.9,5.4,0.112,12000000.0,15752704.0
Matt Bonner,PF,30,SAS,66,1,1432,172,371,0.464,105,230,0.457,67,141,0.475,0.605,32,43,0.744,60,179,239,60,26,21,27,110,481,0.62,6.2,1.0,1.9,0.2,14.2,1.4,0.116,1.7,5.0,3.0,13.5,0.9,6.5,9.7,0.617,13.4,1.4,4.4,0.147,3315000.0,4351684.0
Trevor Booker,PF,23,WAS,65,14,1063,139,253,0.549,0,1,0.0,139,252,0.552,0.549,68,101,0.673,98,153,251,35,29,42,38,115,346,0.004,5.2,3.0,-0.9,-0.3,17.0,0.8,0.399,-0.6,10.2,1.8,15.3,1.4,11.3,13.5,0.582,13.9,0.3,2.6,0.119,1294920.0,1699874.0
Carlos Boozer,C,29,CHI,59,59,1882,431,845,0.51,0,0,0.0,431,845,0.51,0.51,171,244,0.701,130,435,565,145,45,18,149,186,1033,0.0,14.3,0.7,1.0,0.8,26.3,3.9,0.289,0.2,8.3,1.9,18.8,1.3,13.5,17.6,0.542,26.9,1.4,5.8,0.149,13500000.0,17721792.0
Craig Brackins,PF,23,PHI,3,0,33,4,16,0.25,0,5,0.0,4,11,0.364,0.25,0,0,0.0,2,2,4,1,1,0,0,3,8,0.313,4.6,0.0,-12.5,-4.1,7.0,0.0,0.0,-8.4,7.0,-0.1,0.1,1.6,0.0,7.0,0.25,22.3,-0.1,-0.1,-0.154,1404960.0,1844326.0
Avery Bradley,PG,20,BOS,31,0,162,23,67,0.343,0,5,0.0,23,62,0.371,0.343,6,12,0.5,4,13,17,12,9,0,16,20,52,0.075,11.9,0.0,-11.1,-0.3,9.3,0.3,0.179,-10.8,3.2,-0.8,2.2,3.0,18.1,6.5,0.36,26.1,-0.4,-0.5,-0.139,1524480.0,2001223.0
Elton Brand,PF,31,PHI,81,81,2809,502,981,0.512,0,1,0.0,502,980,0.512,0.512,213,273,0.78,237,439,676,120,92,106,101,244,1217,0.001,7.1,2.9,1.3,0.6,18.0,4.4,0.278,0.7,9.7,5.1,18.5,1.7,8.4,13.9,0.553,19.7,2.4,9.4,0.161,17059727.0,22394736.0
Corey Brewer,SF-SG,24,TOT,69,24,1510,193,488,0.395,30,112,0.268,163,376,0.434,0.426,136,192,0.708,57,118,175,89,100,16,87,159,552,0.23,9.1,0.8,-2.3,1.2,8.9,1.3,0.393,-3.5,4.2,-0.1,11.0,3.3,13.2,6.5,0.482,18.8,-0.1,1.1,0.036,3059000.0,4015626.0
Ronnie Brewer,SG,25,CHI,81,1,1781,205,427,0.48,6,27,0.222,199,400,0.498,0.487,87,133,0.654,55,207,262,140,106,22,55,82,503,0.063,12.1,0.9,2.4,3.7,13.2,3.8,0.311,-1.3,3.7,1.7,13.8,3.2,10.2,8.6,0.518,13.9,2.0,5.4,0.147,4710000.0,6182936.0
Jon Brockman,C,23,MIL,63,6,677,48,94,0.511,0,0,0.0,48,94,0.511,0.511,40,59,0.678,74,110,184,18,14,3,24,119,136,0.0,4.2,0.3,-3.9,0.2,19.4,1.0,0.628,-4.1,12.4,0.8,9.6,1.1,16.7,15.8,0.567,10.0,-0.3,1.9,0.132,1000000.0,1312725.0
Derrick Brown,SF,23,TOT,49,1,576,74,131,0.565,5,10,0.5,69,121,0.57,0.584,32,60,0.533,41,58,99,33,20,10,35,59,185,0.076,9.5,1.4,-1.6,-0.1,12.2,0.5,0.458,-1.4,8.5,0.5,12.9,1.8,18.2,10.3,0.588,15.5,0.1,1.0,0.083,854389.0,1121578.0
Kwame Brown,C,28,CHA,66,50,1714,194,375,0.517,0,0,0.0,194,375,0.517,0.517,136,231,0.589,147,303,450,43,26,39,69,174,524,0.0,4.1,1.8,-2.8,-0.9,21.6,1.7,0.616,-1.9,10.3,1.8,12.8,0.8,12.6,15.9,0.55,14.9,-0.3,3.5,0.097,6750000.0,8860896.0
Shannon Brown,SG,25,LAL,82,0,1568,273,643,0.425,74,212,0.349,199,431,0.462,0.482,92,101,0.911,35,122,157,96,67,16,75,124,712,0.33,10.0,0.8,-0.8,0.2,8.5,1.9,0.157,-0.9,2.6,1.1,13.6,2.3,9.8,5.7,0.518,22.2,0.5,3.1,0.093,3500000.0,4594538.0
Chase Budinger,SF,22,HOU,78,22,1738,279,656,0.425,89,274,0.325,190,382,0.497,0.493,118,138,0.855,52,229,281,127,41,18,67,114,765,0.418,11.5,0.7,-0.2,-0.8,15.0,1.2,0.21,0.6,3.4,2.2,14.2,1.2,8.5,9.2,0.534,19.9,0.8,3.4,0.095,854389.0,1121578.0
Caron Butler,SF,30,DAL,29,29,867,170,378,0.45,28,65,0.431,142,313,0.454,0.487,68,88,0.773,22,96,118,46,28,8,49,59,436,0.172,9.1,0.7,-0.9,0.0,12.5,1.0,0.233,-0.8,3.1,0.2,14.2,1.7,10.5,8.0,0.523,25.1,0.2,1.2,0.067,8000000.0,10501803.0
Rasual Butler,SG,31,TOT,47,2,770,79,237,0.333,46,136,0.338,33,101,0.327,0.43,18,27,0.667,10,67,77,27,8,15,24,37,222,0.574,5.3,1.5,-3.8,-1.5,10.1,0.3,0.114,-2.3,1.5,-0.5,6.2,0.5,8.8,5.9,0.446,15.8,-0.4,-0.1,-0.009,1229255.0,1613674.0
Andrew Bynum,C,23,LAL,54,47,1500,237,413,0.574,0,0,0.0,237,413,0.574,0.574,138,209,0.66,170,338,508,73,19,106,74,140,612,0.0,7.7,5.4,3.2,1.4,24.7,2.8,0.506,1.8,13.3,3.8,21.1,0.7,12.8,19.2,0.606,17.6,2.0,6.6,0.21,14900000.0,19559608.0
Will Bynum,PG,28,DET,61,5,1125,182,406,0.448,16,50,0.32,166,356,0.466,0.468,102,122,0.836,15,59,74,195,52,4,83,113,482,0.123,28.6,0.3,-1.9,-1.0,6.7,0.4,0.3,-0.8,1.6,1.1,15.2,2.5,15.3,4.0,0.524,22.5,0.0,1.5,0.066,3250000.0,4266357.0
Marcus Camby,C,36,POR,59,51,1540,117,294,0.398,0,1,0.0,117,293,0.399,0.398,43,70,0.614,182,424,606,121,40,92,62,140,277,0.003,11.7,5.0,1.5,2.2,35.2,3.0,0.238,-0.7,13.8,0.8,14.8,1.4,16.0,24.1,0.426,11.7,1.4,3.7,0.116,11227250.0,14738296.0
Derrick Caracter,C,22,LAL,41,0,215,32,66,0.485,0,0,0.0,32,66,0.485,0.485,17,23,0.739,19,24,43,7,4,10,19,47,81,0.0,5.1,3.5,-7.1,-0.5,12.2,0.3,0.348,-6.6,10.3,0.0,10.0,1.0,20.0,11.3,0.532,20.2,-0.3,0.3,0.057,270427.0,354996.0
Brian Cardinal,SF,33,DAL,56,4,618,43,100,0.43,42,87,0.483,1,13,0.077,0.64,17,18,0.944,10,49,59,40,24,7,17,82,145,0.87,9.1,0.9,1.2,2.4,8.9,0.7,0.18,-1.2,2.0,1.0,9.7,2.0,13.6,5.6,0.672,9.5,0.5,1.7,0.132,1352181.0,1775042.0
DeMarre Carroll,PF,24,TOT,12,0,50,4,12,0.333,0,0,0.0,4,12,0.333,0.333,2,2,1.0,2,6,8,4,1,1,0,5,10,0.0,10.7,1.6,-3.5,-0.5,14.5,0.0,0.167,-2.9,4.7,0.0,8.7,1.0,0.0,9.6,0.388,11.6,0.0,0.1,0.066,833713.0,1094436.0
Matt Carroll,SG,30,CHA,54,1,582,89,199,0.447,17,46,0.37,72,153,0.471,0.49,40,52,0.769,12,56,68,23,17,6,23,43,235,0.231,6.9,0.8,-2.7,-0.8,11.7,0.5,0.261,-1.9,2.5,0.3,12.2,1.6,9.4,7.1,0.53,19.8,-0.1,0.8,0.062,3900000.0,5119629.0
Anthony Carter,PG,35,TOT,33,0,463,45,106,0.425,12,40,0.3,33,66,0.5,0.481,8,8,1.0,7,44,51,69,27,6,39,49,110,0.377,21.3,1.0,-2.4,0.9,10.9,0.4,0.075,-3.3,1.7,-0.2,9.2,2.9,26.3,6.3,0.502,14.3,-0.1,0.2,0.023,1352181.0,1775042.0
Vince Carter,SG,34,TOT,73,63,2051,389,891,0.437,116,321,0.361,273,570,0.479,0.502,128,173,0.74,54,221,275,146,67,20,90,193,1022,0.36,12.1,0.7,0.3,0.2,12.4,1.9,0.194,0.1,3.1,2.0,14.8,1.7,8.5,7.8,0.528,23.5,1.2,3.8,0.089,21300000.0,27961050.0
Omri Casspi,SF,22,SAC,71,27,1702,225,546,0.412,92,247,0.372,133,299,0.445,0.496,68,101,0.673,74,233,307,74,54,13,68,115,610,0.452,6.6,0.6,-0.6,-0.4,16.0,1.3,0.185,-0.1,4.8,1.1,11.7,1.6,10.3,10.3,0.517,16.7,0.6,2.5,0.069,1341960.0,1761624.0
Mario Chalmers,PG,24,MIA,70,28,1579,155,388,0.399,83,231,0.359,72,157,0.459,0.506,54,62,0.871,12,134,146,177,76,7,91,158,447,0.595,16.8,0.3,-0.8,1.5,9.5,2.3,0.16,-2.3,1.0,0.7,10.3,2.5,18.0,5.5,0.538,15.0,0.5,2.9,0.089,4000000.0,5250901.0
Tyson Chandler,C,28,DAL,74,74,2059,266,407,0.654,0,0,0.0,266,407,0.654,0.654,216,295,0.732,206,486,692,32,36,80,88,240,748,0.0,2.4,3.0,1.5,1.0,26.6,3.5,0.725,0.6,12.2,5.8,18.4,0.9,14.1,19.7,0.697,14.2,1.8,9.4,0.218,13107837.0,17206990.0
Josh Childress,SG,27,PHO,54,3,894,121,214,0.565,1,16,0.063,120,198,0.606,0.568,29,59,0.492,69,86,155,42,33,23,44,68,272,0.075,7.0,1.9,-0.5,0.1,11.1,0.6,0.276,-0.6,8.9,0.8,13.0,1.9,15.5,10.0,0.567,14.3,0.3,1.4,0.076,6000000.0,7876352.0
Earl Clark,SF,23,TOT,42,0,464,68,158,0.43,0,5,0.0,68,153,0.444,0.43,27,47,0.574,37,64,101,9,8,18,28,45,163,0.032,3.1,3.0,-3.8,0.1,15.7,0.7,0.297,-3.9,9.5,-0.4,10.1,0.9,13.5,12.7,0.456,20.5,-0.2,0.3,0.03,1160000.0,1522761.0
Jason Collins,C,32,ATL,49,28,593,34,71,0.479,1,1,1.0,33,70,0.471,0.486,27,41,0.659,30,72,102,22,9,9,26,97,96,0.014,5.3,1.2,-4.8,0.4,14.5,0.5,0.577,-5.3,6.1,0.1,5.4,0.8,22.6,10.4,0.539,9.2,-0.4,0.6,0.049,1352181.0,1775042.0
Darren Collison,PG,23,IND,79,79,2360,398,870,0.457,41,124,0.331,357,746,0.479,0.481,202,232,0.871,40,185,225,403,87,14,194,109,1039,0.143,28.9,0.4,-0.3,-0.7,8.6,2.2,0.267,0.4,1.9,2.1,15.6,1.9,16.6,5.3,0.534,21.9,1.0,4.3,0.087,1455960.0,1911275.0
Nick Collison,C,30,OKC,71,2,1524,137,242,0.566,0,0,0.0,137,242,0.566,0.566,55,73,0.753,119,197,316,69,42,31,55,210,329,0.0,6.7,1.5,-1.2,0.7,14.6,1.5,0.302,-1.9,9.5,2.1,10.8,1.4,16.7,12.1,0.6,9.8,0.3,3.6,0.113,3272997.0,4296546.0
Mike Conley,PG,23,MEM,81,81,2872,423,953,0.444,80,217,0.369,343,736,0.466,0.486,181,247,0.733,32,215,247,528,144,18,176,182,1107,0.228,28.0,0.5,1.2,0.5,9.0,3.2,0.259,0.7,1.3,3.4,15.9,2.6,14.2,5.1,0.521,19.4,2.3,6.6,0.111,6611571.0,8679177.0
Brian Cook,PF,30,LAC,40,0,447,72,170,0.424,34,79,0.43,38,91,0.418,0.524,15,24,0.625,19,77,96,15,12,11,25,75,193,0.465,5.6,1.9,-1.9,-0.2,20.0,0.5,0.141,-1.6,5.0,0.1,11.6,1.4,12.2,12.6,0.534,20.5,0.0,0.6,0.064,1223166.0,1605681.0
Daequan Cook,SG,23,OKC,43,0,598,79,181,0.436,65,154,0.422,14,27,0.519,0.616,16,20,0.8,8,64,72,20,14,1,17,51,239,0.851,5.3,0.1,1.1,-0.7,12.1,0.4,0.11,1.8,1.6,1.2,12.8,1.2,8.2,7.0,0.63,15.7,0.5,1.6,0.126,3341558.0,4386548.0
DeMarcus Cousins,C,20,SAC,81,62,2309,432,1004,0.43,3,18,0.167,429,986,0.435,0.432,276,402,0.687,217,482,699,204,85,68,268,332,1143,0.018,14.7,2.1,-2.6,0.1,24.4,2.9,0.4,-2.7,10.4,-1.9,14.6,1.9,18.5,17.2,0.484,27.2,-0.4,1.1,0.022,3627720.0,4762200.0
Jamal Crawford,SG,30,ATL,76,0,2297,368,874,0.421,119,349,0.341,249,525,0.474,0.489,222,260,0.854,22,108,130,241,57,14,145,97,1077,0.399,17.7,0.5,-1.0,-1.6,5.6,1.4,0.297,0.6,1.2,1.9,14.2,1.3,12.8,3.4,0.545,23.4,0.6,3.4,0.071,5000000.0,6563626.0
Jordan Crawford,SG,22,TOT,42,18,1027,192,500,0.384,33,128,0.258,159,372,0.427,0.417,73,84,0.869,31,74,105,117,39,3,83,63,490,0.256,19.8,0.2,-3.8,-2.3,8.6,0.5,0.168,-1.5,3.4,-1.0,11.8,2.0,13.4,5.9,0.456,27.0,-0.5,-0.6,-0.026,1120440.0,1470830.0
Dante Cunningham,PF,23,TOT,78,18,1637,218,472,0.462,1,13,0.077,217,459,0.473,0.463,45,62,0.726,96,181,277,43,54,43,51,177,482,0.028,4.3,2.2,-3.3,-0.1,13.9,1.7,0.131,-3.2,6.9,0.3,10.7,1.8,9.3,10.3,0.483,15.7,-0.5,2.0,0.06,2000000.0,2625450.0
Stephen Curry,PG,22,GSW,74,74,2489,505,1053,0.48,151,342,0.442,354,711,0.498,0.551,212,227,0.934,52,234,286,432,109,20,226,233,1373,0.325,28.1,0.6,2.3,-0.7,10.9,1.3,0.216,3.0,2.3,5.4,19.4,2.2,16.4,6.5,0.595,24.4,2.7,6.6,0.128,3117120.0,4091922.0
