Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,SalaryAdj
Arron Afflalo,SG,25,DEN,69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,0.396,10.9,1.0,1.4,-0.3,9.9,1.4,0.26,1.7,2.3,4.8,13.6,0.7,9.2,6.2,0.62,14.8,2.0,6.2,0.128,7562500.0,9927485.0
Solomon Alabi,C,22,TOR,12,0,59,3,15,0.2,0,0,0.0,3,15,0.2,0.2,0,2,0.0,7,7,14,2,2,2,3,5,6,0.0,4.6,2.6,-8.9,-2.9,14.4,0.0,0.133,-6.0,13.7,-0.2,2.0,1.8,15.9,14.1,0.189,14.3,-0.1,-0.2,-0.142,830000.0,1089562.0
Cole Aldrich,C,22,OKC,18,0,142,8,15,0.533,0,0,0.0,8,15,0.533,0.533,2,4,0.5,13,22,35,4,5,7,8,30,18,0.0,4.0,3.6,-4.0,1.6,17.5,0.2,0.267,-5.6,11.1,0.0,7.0,1.8,32.3,14.4,0.537,7.9,-0.1,0.2,0.066,2286000.0,3000890.0
LaMarcus Aldridge,PF,25,POR,81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,0.016,10.1,2.4,2.1,-0.5,17.2,3.5,0.314,2.6,10.1,7.6,21.5,1.4,8.7,13.5,0.549,25.7,3.4,11.1,0.166,12372000.0,16241038.0
Tony Allen,SG,29,MEM,72,31,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643,0.047,10.9,2.4,3.6,3.5,9.9,2.7,0.37,0.1,5.5,2.0,18.4,4.5,13.1,7.7,0.562,19.9,2.1,4.7,0.152,3150000.0,4135084.0
Al-Farouq Aminu,SF,20,LAC,81,14,1452,160,406,0.394,45,143,0.315,115,263,0.437,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457,0.352,6.4,1.3,-2.8,-0.1,15.4,1.4,0.293,-2.7,6.1,-0.8,9.6,2.1,18.3,10.8,0.499,17.3,-0.3,0.7,0.022,2755560.0,3617293.0
Chris Andersen,C,32,DEN,45,0,732,82,137,0.599,0,1,0.0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250,0.007,4.0,6.0,3.0,1.8,22.1,1.2,0.985,1.2,12.2,1.9,19.0,1.6,11.3,17.3,0.636,13.5,0.9,3.2,0.207,4234000.0,5558079.0
James Anderson,SF,21,SAS,26,2,286,31,81,0.383,18,46,0.391,13,35,0.371,0.494,14,18,0.778,2,21,23,18,3,6,13,24,94,0.568,9.2,1.5,-1.7,-0.6,8.3,0.2,0.222,-1.1,0.8,0.1,8.5,0.5,12.8,4.7,0.529,16.4,0.0,0.3,0.051,1463520.0,1921199.0
Ryan Anderson,PF,22,ORL,64,14,1424,226,525,0.43,134,341,0.393,92,184,0.5,0.558,95,117,0.812,129,226,355,52,30,38,49,137,681,0.65,6.2,2.1,4.6,0.4,18.1,2.5,0.223,4.2,10.8,4.0,19.0,1.1,7.8,14.5,0.591,20.4,2.4,6.4,0.216,2244601.0,2946544.0
Carmelo Anthony,SF,26,TOT,77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,0.167,14.7,1.3,1.9,-1.2,18.3,2.5,0.403,3.2,5.0,5.4,21.7,1.2,10.4,11.8,0.557,32.0,2.7,7.9,0.138,18518574.0,24309802.0
Joel Anthony,C,28,MIA,75,11,1463,53,99,0.535,0,0,0.0,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153,0.0,2.2,5.0,-1.6,1.6,12.4,2.1,0.737,-3.2,9.0,1.2,7.3,0.4,21.5,10.8,0.583,5.3,0.2,3.3,0.107,3600000.0,4725811.0
Gilbert Arenas,PG,29,TOT,70,16,1796,269,734,0.366,97,327,0.297,172,407,0.423,0.433,120,153,0.784,22,167,189,274,74,21,177,188,755,0.446,25.3,0.9,-2.4,-0.3,10.7,2.2,0.208,-2.2,1.4,-1.6,10.8,2.1,18.1,6.1,0.471,24.7,-0.2,0.5,0.014,19269307.0,25295308.0
Trevor Ariza,SF,25,NOH,75,75,2600,303,762,0.398,82,271,0.303,221,491,0.45,0.451,138,197,0.701,61,347,408,162,120,31,118,180,826,0.356,10.0,1.0,-0.4,1.3,16.4,3.8,0.259,-1.7,2.8,-0.4,11.3,2.5,12.2,9.5,0.487,17.7,1.0,3.4,0.062,6790640.0,8914245.0
Darrell Arthur,PF,22,MEM,80,9,1609,310,624,0.497,0,6,0.0,310,618,0.502,0.497,109,134,0.813,115,227,342,53,52,63,88,228,729,0.01,5.4,3.2,-1.6,0.2,17.0,2.2,0.215,-1.8,8.5,1.5,15.7,1.7,11.4,12.7,0.534,21.6,0.2,3.8,0.113,2027119.0,2661050.0
Luke Babbitt,SF,21,POR,24,0,137,15,55,0.273,3,16,0.188,12,39,0.308,0.3,3,9,0.333,6,24,30,6,2,2,8,15,36,0.291,6.9,1.2,-10.8,-2.5,22.4,0.1,0.164,-8.3,5.1,-0.6,1.0,0.8,11.9,13.4,0.305,22.8,-0.3,-0.4,-0.143,1768800.0,2321948.0
Renaldo Balkman,SF,26,TOT,8,0,62,6,13,0.462,1,2,0.5,5,11,0.455,0.5,3,4,0.75,2,5,7,2,4,2,1,15,16,0.154,4.7,2.4,-4.1,0.9,9.1,0.1,0.308,-5.0,3.7,0.1,9.3,3.2,6.3,6.5,0.542,11.3,0.0,0.1,0.114,1675000.0,2198815.0
Leandro Barbosa,SG,28,TOR,58,0,1395,294,653,0.45,72,213,0.338,222,440,0.505,0.505,109,137,0.796,14,85,99,119,50,6,84,112,769,0.326,14.6,0.3,-1.3,-1.7,7.4,0.1,0.21,0.4,1.2,1.4,15.3,1.9,10.5,4.2,0.539,25.6,0.2,1.5,0.052,7600000.0,9976712.0
Andrea Bargnani,C,25,TOR,66,66,2353,525,1173,0.448,77,223,0.345,448,950,0.472,0.48,287,350,0.82,74,269,343,119,34,46,152,160,1414,0.19,8.8,1.5,-1.4,-2.6,13.9,0.3,0.298,1.2,3.6,2.2,16.4,0.7,10.3,8.6,0.533,28.2,0.4,2.5,0.052,9250000.0,12142709.0
Matt Barnes,SF,30,LAL,53,0,1020,131,279,0.47,34,107,0.318,97,172,0.564,0.53,60,77,0.779,73,155,228,71,39,22,58,127,356,0.384,10.5,1.6,0.6,1.0,16.7,1.6,0.276,-0.5,8.4,1.4,14.6,2.0,15.6,12.7,0.569,16.6,0.7,3.0,0.142,1906200.0,2502317.0
Earl Barron,C,29,TOT,21,7,305,32,99,0.323,0,0,0.0,32,99,0.323,0.323,15,24,0.625,32,44,76,11,8,6,16,46,79,0.0,5.8,1.5,-8.1,-1.9,17.2,0.3,0.242,-6.3,12.1,-0.6,6.2,1.4,12.7,14.6,0.361,18.9,-0.5,-0.2,-0.039,185588.0,243626.0
Brandon Bass,PF,25,ORL,76,51,1980,332,645,0.515,0,2,0.0,332,643,0.516,0.515,190,233,0.815,134,290,424,57,27,52,97,159,854,0.003,5.0,2.0,0.2,0.5,16.7,3.1,0.361,-0.3,8.1,3.2,15.9,0.7,11.5,12.5,0.571,19.8,1.1,6.3,0.153,4250000.0,5579082.0
Tony Battie,C,34,PHI,38,0,377,45,96,0.469,2,3,0.667,43,93,0.462,0.479,8,14,0.571,17,82,99,12,5,15,12,59,100,0.031,4.8,3.0,-3.3,0.8,25.1,0.6,0.146,-4.1,5.2,0.0,9.5,0.7,10.5,15.1,0.489,13.9,-0.1,0.6,0.075,1352181.0,1775042.0
Shane Battier,SF,32,TOT,82,59,2375,229,509,0.45,102,267,0.382,127,242,0.525,0.55,64,93,0.688,90,283,373,185,69,81,79,158,624,0.525,11.1,2.4,1.4,0.9,13.7,2.2,0.183,0.6,4.4,2.9,12.3,1.5,12.6,9.0,0.567,11.7,2.0,5.1,0.103,3000000.0,3938176.0
Nicolas Batum,SF,22,POR,80,67,2522,367,807,0.455,118,342,0.345,249,465,0.535,0.528,138,164,0.841,109,252,361,123,68,49,83,194,990,0.424,8.1,1.6,1.1,0.0,12.8,2.3,0.203,1.1,5.1,4.4,14.8,1.5,8.6,8.8,0.563,17.8,2.0,6.6,0.126,2155365.0,2829402.0
Jerryd Bayless,PG,22,TOT,71,14,1496,218,517,0.422,49,146,0.336,169,371,0.456,0.469,166,206,0.806,26,139,165,266,38,5,127,149,651,0.282,27.6,0.3,-1.8,-1.9,11.3,0.3,0.398,0.1,2.0,1.4,14.1,1.3,17.3,6.6,0.536,22.1,0.1,1.6,0.053,3042280.0,3993678.0
